proposicao,id_camara,id_senado,row,id_leggo
MPV 533/2011,501560,NA,5627,9ba3baba3747ddd264771af87a5e3dea
MPV 768/2017,NA,127931,5693,904d27a12b7e4ee47aefb246de7c9f86
MPV 1031/2021,2270789,NA,5739,48c8999e530b7a0b6e809390c8a2c570
MPV 854/2018,NA,134267,5749,4e77fa176b4b7b23da18cd562f42cdde
MPV 918/2020,2236223,NA,5756,00063e8863690cfffa2704f129c81b7f
MPV 766/2017,NA,127896,5817,2568d5cb05caa200e6841249944d99c5
MPV 710/2016,NA,124601,5950,fbf7e67ef7786fee8a48c7f086832ec2
MPV 1006/2020,2263719,NA,5956,99adf46de52bde1d9aafb88368a49bb3
MPV 662/2014,818122,NA,6019,4a4d658498b5f687e7d9167c925b8b65
MPV 676/2015,1504953,NA,6127,9558177ac4aaf89d3cf7dd89fccea9be
MPV 649/2014,NA,118080,6129,c271f329a342d6a4446f5d4b1a38d9ad
PL 10984/2018,2186620,132143,6217,4bdc7be0e36a96291666ed15c9bc6235
MPV 633/2013,605330,NA,6318,271c34b8a5f69d1c5854995c73a3da6a
MPV 836/2018,2177274,NA,6359,eca849912a31633921edcc8b1bf6cd12
MPV 870/2019,2190288,NA,6377,d50e8932ddec17cd8046bc8a5aabbf2d
MPV 694/2015,1806249,NA,6439,d43e92794ee2cd03435e6eaaf6706fd0
MPV 978/2020,NA,142361,6474,372d0b47c8ba0ba4478b7f35a2fbf38b
MPV 622/2013,584455,NA,6526,28fa2f2d67cbc4f2f8b6ae4b9d33ec7c
MPV 754/2016,NA,127861,6560,00b172e4368729e2158b265f538745d1
MPV 674/2015,NA,121312,6590,c318b41a2cbdd6db1c07ee4c9d9a6c48
MPV 1015/2020,NA,146062,6710,ba89c2bc9bec42a6db18268f9d4d42d7
MPV 811/2017,NA,132056,6773,de1c09e50fa297270f423ddfa9124ec2
PLS 21/2018,NA,132142,6859,a9c3d8093ffd389b3b6587b5847176e5
MPV 741/2016,2092263,NA,6861,303c9c1480edd1a87284a546e5773de4
MPV 813/2017,2167544,NA,6928,eaafd109f58a382f23ac4eae0e4739b6
MPV 1019/2020,NA,146141,6946,e6061258ea31c3b99c9c2f73a320fb42
MPV 987/2020,2256542,NA,6959,6bfc1454e18a32353367f35391a71cc0
MPV 831/2018,NA,133415,6989,4449ecec483395f0d9d3c153a7646043
MPV 779/2017,2138678,NA,7026,da7b79217a144ccb35a148dc44804e52
MPV 1001/2020,2262906,NA,7038,90d644de787107f50ddc51abab775274
MPV 788/2017,2145808,NA,7041,3b8894bb421fa1e2d9f523876fa86565
MPV 657/2014,623330,NA,7051,588ac945e962f2be67aa9787f8954718
MPV 892/2019,NA,137872,7054,bd913c2d1e6118b1bb8359aecc6c5cfa
MPV 646/2014,616955,NA,7091,8dc750bce645b00825b74ef6d8f44a9e
MPV 877/2019,NA,135919,7100,7e5c96c204bdf94975e9cac908fc963d
MPV 903/2019,NA,139736,7141,d8503341ba671a76011c08c33881c991
MPV 792/2017,NA,130151,7168,2aba18c2e404b0e7cfa002c906c7a055
MPV 1008/2020,2264701,NA,7170,263ab4b6255677af90f1a324ebbb3afd
MPV 685/2015,1594437,NA,7196,ad7e894f17d8fa830cda25eb60fedb74
MPV 555/2011,533507,NA,7244,066a58b48d813a766ddede5e0986c6d9
MPV 802/2017,2153038,NA,7324,11f689fadcdded91770b51a6bca2b07b
MPV 884/2019,NA,137319,7332,fb699f45a5f4f6a12eb40530d9495bf3
MPV 819/2018,NA,132097,7343,783e78e0d6fd46f66660a27f4028052d
MPV 927/2020,NA,141145,7428,b34710b990aea5dab9b8ab83d398b95d
MPV 860/2018,2188033,NA,7484,193e36528268ecb71b1279072a95e1ce
MPV 951/2020,NA,141565,7572,2f2ea3747e466338efff375e13a28e4b
MPV 957/2020,2250601,NA,7574,ff94207e9b5f6038cbb1c350d9d5a13c
MPV 588/2012,559467,NA,7710,f0c14db59a7ffd265ae3a2d1dc999641
MPV 975/2020,2254253,NA,7764,fd58ffa5e165fc38e2b5aef9f2863b84
MPV 949/2020,NA,141502,7774,8d9962de219a24f4e0694c88a2c18987
MPV 689/2015,1700882,NA,7878,8caf83de82683aeb1e506528818e9a16
MPV 936/2020,2242618,NA,7886,eaf86014151247271ca4358f24612fa4
MPV 755/2016,2121837,NA,7962,cf6314f2b58e1c57b1b76f417023efd8
MPV 616/2013,579019,NA,7973,1a74370bfbfb5015705a7f40820ba1ed
MPV 720/2016,NA,125341,8026,b712a19138121fb39574e917aee3b47f
MPV 774/2017,2127972,NA,8073,7d6070230b0ddcfa2e57fdf23ac56383
MPV 990/2020,2257451,NA,8236,482f14c451f1efbdef572d173f157819
MPV 1005/2020,2263649,NA,8274,28cfa1631d1577af2639fd012776c55f
MPV 927/2020,2241662,NA,8348,d86e16d1ef3d6a2f838b749b38d56fe4
MPV 638/2014,605355,NA,8392,01b721c4cdddc1bc8f03c6325e092769
MPV 910/2019,NA,140116,8401,3d268e1f9199915b0c954b77092f6914
MPV 910/2019,2233488,NA,8404,4b1a6832c7cb0f2d3d0aa8f3471f185e
MPV 918/2020,NA,140394,8417,3ef3e6ff691cf01733c1b18d81563e98
MPV 904/2019,2229306,NA,8422,a5434423905265f0e83d698304fc8f5a
MPV 1014/2020,2266115,NA,8426,8895883b1874515ef032b303d9603477
MPV 642/2014,NA,116973,8432,8bd65a4a07662654fc3cd05eeed8edee
MPV 808/2017,2162296,NA,8521,4a69bef06e9088de001f35c9e9d002cf
MPV 1016/2020,NA,146074,8570,2bbc9398c4ec980184446f405063ddb6
MPV 806/2017,NA,131385,8673,193009c40b13b9c3ce3dcc2c20727fc1
MPV 845/2018,NA,133993,8707,5d32d4a9394d589327976aa9209577a2
MPV 1003/2020,NA,144943,8723,d20bea6a3ecff6553778df0ae8c54b62
MPV 857/2018,2186920,NA,8743,dba741fa02dcbc26bc31d3501d15e14b
MPV 773/2017,NA,128552,9107,a3508bd4ef3decb66b2d3f21e4d9cc00
MPV 931/2020,2242292,NA,9301,ac0cf34b2096439e0c6846a387d52392
MPV 740/2016,2092130,NA,9303,c80d4f45f4a0f03925f1c07c8af56c96
MPV 541/2011,513514,NA,9332,99e7cf566fd18ad7735f3b453a8bd85a
MPV 961/2020,NA,141863,9361,698fcf6f9103eebd7000eb445ad50077
MPV 956/2020,2250590,NA,9396,7e18b596fdd46a1a11ab3f327c63fac2
MPV 661/2014,808898,NA,9398,fa2af9ad735f322cb4865e8ab56f4c6d
MPV 716/2016,2079440,NA,9514,2e953e4a365682a78732691a5b592fc0
MPV 650/2014,NA,118134,9524,dc473c1de6dc423cc46954d88ae7d8a7
MPV 928/2020,2241789,NA,9569,fb95ec33269d7e924aea38ef5cb65815
MPV 981/2020,2255128,NA,9661,1ac50f2098648d6fde9c527e1f542c5b
MPV 976/2020,2254694,NA,9673,9454ed5d3bc5d26de45e6d95431e0d3b
MPV 1004/2020,2263411,NA,9777,be525a0b7f0ced77434f1e98e8b71e08
MPV 992/2020,2257923,NA,9844,d3a4201f9b7f0ff704bd5be4271f804a
MPV 900/2019,2225928,NA,9874,0d6a29ef2db124a70a8bddd34601c8dc
MPV 929/2020,NA,141209,9967,98d7772452316363828e311660f68a74
MPV 939/2020,NA,141398,10029,2341df9824f9103dacd555395a1e5aeb
MPV 567/2012,543448,NA,10154,34f1c3d5319fccf72c110ffeda069202
PL 3477/2019,NA,137270,10193,9d857df6658f55824a1f66c7c1bef619
MPV 539/2011,513172,NA,10314,9ce45f3a1f85d6c6123d8b97f3f565c0
MPV 1006/2020,NA,145025,10333,00aff3882987f47d17b41e90c26a5765
MPV 797/2017,NA,130540,10479,e6b92864aa8d81f312ad7a5f1eeffe41
MPV 750/2016,NA,127377,10518,0a83d1a591fd372a131f20a235a6cd28
MPV 963/2020,2251976,NA,10537,38ec877f01c960b75dc44869b5d94ace
