id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo,uri_prop_principal,sigla,status,,
2088990,PLP,295,"Estabelece, com amparo nos arts. 163 e 165,      § 9º, da Constituição Federal, normas gerais sobre planejamento, orçamento, fundos, contabilidade, controle e avaliação na administração pública; altera a Lei Complementar nº 101, de 4 de maio de 2000; e revoga a Lei nº 4.320, de 17 de março de 1964.",2016-06-21T16:37:00Z,camara,senado,Prioridade,Plenário,178911,1178911,4f89264b58ac80d3dfe1c7d31549a30c,NA,PLP 295/2016,Ativa,,
91341,PLS,229,"Estabelece normas gerais sobre plano, orçamento, controle e contabilidade pública, voltadas para a responsabilidade no processo orçamentário e na gestão financeira e patrimonial, altera dispositivos da Lei Complementar nº 101, de 4 de maio de 2000, a fim de fortalecer a gestão fiscal responsável e dá outras providências.",2009-05-28T00:00:00Z,senado,senado,Ordinária,Plenário,1,21,4f89264b58ac80d3dfe1c7d31549a30c,NA,PLS 229/2009,Ativa,,
2121442,PL,6726,"Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal.

NOVA EMENTA: Identifica, nos termos do § 11 do art. 37 da Constituição Federal, as parcelas não sujeitas ao limite remuneratório previsto no inciso XI do caput e nos §§ 9º e 12 do art. 37 da Constituição Federal; e dá outras providências. Revoga as Leis nº 8.448, de 1992 e 8.852, de 1994 e dispositivos das Leis nº 8.112, de 1990 e 10.887, de 2004.",2016-12-14T22:16:00Z,camara,senado,Urgência,Plenário,73466,173466,4cf2d59bceb3ed122af69546476551c9,NA,PL 6726/2016,Ativa,,
127753,PLS,449,Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal.,2016-12-08T00:00:00Z,senado,senado,Ordinária,Plenário,NA,NA,4cf2d59bceb3ed122af69546476551c9,NA,PLS 449/2016,Ativa,,
2122766,PL,6814,"Institui normas para licitações e contratos da Administração Pública  e revoga a Lei nº 8.666,  de  21  de  junho  de  1993, a Lei nº 10.520, de 17 de julho de 2002, e dispositivos da Lei nº 12.462, de 4 de agosto de 2011.",2017-02-03T15:31:00Z,camara,senado,Urgência,Plenário,160573,1160573,0b012d0a22f60977b1a926fb5396df01,NA,PL 6814/2017,Lei,,
115926,PLS,559,Institui normas para licitações e contratos da Administração Pública e dá outras providências.,2013-12-23T00:00:00Z,senado,senado,Ordinária,Plenário,1,21,0b012d0a22f60977b1a926fb5396df01,NA,PLS 559/2013,Ativa,,
126364,PLS,272,"Altera a Lei nº 13.260, de 16 de março de 2016, a fim de disciplinar com mais precisão condutas consideradas como atos de terrorismo.",2016-07-05T00:00:00Z,senado,senado,Ordinária,Plenário,5982,25982,a1c79cf4cb95f3e13719e6762018e4f2,NA,PLS 272/2016,Ativa,,
606722,PL,7180,"Altera o art. 3º da Lei nº 9.394, de 20 de dezembro de 1996. Inclui entre os princípios do ensino  o respeito às convicções do aluno, de seus pais ou responsáveis, dando  precedência aos valores de ordem familiar   sobre a educação escolar nos aspectos relacionados à educação moral, sexual e religiosa.   Adapta a legislação à Convenção Americana sobre Direitos
Humanos (Pacto de São José da Costa Rica), de 22 de novembro de 1969,  ratificada pelo Governo Brasileiro.",2014-02-24T11:32:00Z,camara,camara,Ordinária,Conclusiva,178978,1178978,21c535efc8fca9cf39c3a30c61a0a8f8,NA,PL 7180/2014,Ativa,,
541857,PL,3722,"Disciplina as normas sobre aquisição, posse, porte e circulação de armas de fogo e munições, cominando penalidades e dando providências correlatas. Altera o Decreto-lei nº 2.848, de 1940 e revoga  a Lei nº 10.826, de 2003.",2012-04-19T10:48:00Z,camara,camara,Ordinária,Plenário,178894,1178894,0cf79d8b72ab0c346e4a307afafeec60,NA,PL 3722/2012,Ativa,,
2119881,PEC,287,"Altera os arts. 37, 40, 109, 149, 167, 195, 201 e 203 da Constituição, para dispor sobre a seguridade social, estabelece regras de transição e dá outras providências",2016-12-05T13:09:00Z,camara,camara,Especial,Plenário,160600,1160600,01e564eea52292a5487c0e39a9c0115b,NA,PEC 287/2016,Ativa,,
